BUSINESS,CATEGORY,CATEGORY_ATTRIBUTE
Automotive,Appearance Chemical Multi-Packs / Gift Packs,AppChem-Product_Delivery
Automotive,Appearance Chemical Multi-Packs / Gift Packs,AppChem-Product_Type
Automotive,Appearance Towels / Rags ALL,CarCare-Pack Size
Automotive,Appearance Towels / Rags ALL,CarCare-Product-Type
Automotive,Bar / Chain Oils ALL,BRAZIL - Grease Pkg Size
Automotive,Bar / Chain Oils ALL,Grease-PackageSize
Automotive,Batteries ALL,Battery Grade
Automotive,Batteries ALL,Battery Group Size
Automotive,Batteries ALL,Battery-Type
Automotive,Battery Cables ALL,BRAZIL - Bulk Volume
Automotive,Battery Cables ALL,BattAccess-Product_Type
Automotive,Belts,Cooling Grade
Automotive,Body Filler Hardeners ALL,Body-Product_Type
Automotive,Brake Pads,Brake D-Plate
Automotive,Brake Shoes ALL,Brake Shoes Manufacturing Type
Automotive,Brushes ALL,CarCare-Product_Use
Automotive,Cabin Air Filters ALL,Cabin Air Filters Product Grade
Automotive,Can / Jar Air Fresheners,Air Freshener Pack Size
Automotive,Carburetors & Components,Fuel System - Grade
Automotive,Carburetors & Components,Fuel System - Type
Automotive,Catalytic Converters ALL,Exhaust - CARB Approved
Automotive,Catalytic Converters ALL,Exhaust - Fitment Type
Automotive,Catalytic Converters ALL,Exhaust - OBD
Automotive,Catalytic Converters ALL,Exhaust - Substrate Material
Automotive,Charging Systems,Rotating Electrical Grade
Automotive,Charging Systems,Rotating Electrical Style
Automotive,Coatings,PaintPackageType
Automotive,Conventional Antifreeze/Coolant ALL,Antifreeze-Product_Type
Automotive,Cooling / Heating Hoses,Cooling Hose Type
Automotive,Cooling System Gaskets,Gaskets - Grade
Automotive,DEL2014-Bug Wash Fluid ALL,Washer-Product_Type
Automotive,DELETE    Rechargeable Batteries,Chemical Composition
Automotive,DELETE    Rechargeable Batteries,NA Battery Grade
Automotive,DELETE0714_Marine Oil,Motor Oil Grade
Automotive,DELETE0714_Marine Oil,Motor Oil Package Size
Automotive,DELETE12 -Automotive Refrigerants with Additives,Refrigerants - PackType
Automotive,DELETE12 -Dispensers / Kits ALL,Hand Cleaner Type
Automotive,DELETE2011     Washing Systems,Package Type
Automotive,DELETE2011     Washing Systems,Product Type
